Country Name,Country Code,2021 [YR2021] - Individuals using the Internet (% of population) [IT.NET.USER.ZS],"2021 [YR2021] - Population, total [SP.POP.TOTL]"
St. Kitts and Nevis,KNA,..,47606
St. Lucia,LCA,..,179651
St. Martin (French part),MAF,..,31948
St. Vincent and the Grenadines,VCT,..,104332
Sudan,SDN,..,45657202
Suriname,SUR,..,612985
Sweden,SWE,88.30778589,10415811
Switzerland,CHE,95.56937176,8703405
Syrian Arab Republic,SYR,..,21324367
Tajikistan,TJK,..,9750064
Tanzania,TZA,..,63588334
Thailand,THA,85.26960482,71601103
Timor-Leste,TLS,..,1320942
Togo,TGO,..,8644829
Tonga,TON,..,106017
Trinidad and Tobago,TTO,..,1525663
Tunisia,TUN,..,12262946
Turkiye,TUR,81.40843745,84775404
Turkmenistan,TKM,..,6341855
Turks and Caicos Islands,TCA,..,45114
Tuvalu,TUV,..,11204
Uganda,UGA,..,45853778
Ukraine,UKR,..,43792855
United Arab Emirates,ARE,100,9365145
United Kingdom,GBR,..,67326569
United States,USA,..,331893745
Uruguay,URY,..,3426260
Uzbekistan,UZB,..,34915100
Vanuatu,VUT,..,319137
"Venezuela, RB",VEN,..,28199867
Vietnam,VNM,74.20999985,97468029
Virgin Islands (U.S.),VIR,..,105870
West Bank and Gaza,PSE,..,4922749
"Yemen, Rep.",YEM,..,32981641
Zambia,ZMB,..,19473125
Zimbabwe,ZWE,..,15993524
Africa Eastern and Southern,AFE,..,702976832
Africa Western and Central,AFW,..,478185907
Arab World,ARB,..,456520777
Caribbean small states,CSS,..,7481877
Central Europe and the Baltics,CEB,84.7131489804761,101430997
Early-demographic dividend,EAR,..,3411889059
East Asia & Pacific,EAS,73.1355895626711,2370204347
East Asia & Pacific (excluding high income),EAP,72.3953961642717,2123673456
East Asia & Pacific (IDA & IBRD countries),TEA,72.3953961642717,2097669023
Euro area,EMU,87.1751106641765,343067846
Europe & Central Asia,ECS,86.5336269623246,923777214
Europe & Central Asia (excluding high income),ECA,85.4311395130952,401575218
Europe & Central Asia (IDA & IBRD countries),TEC,85.2728079765725,462341222
European Union,EUU,86.7269197424394,447199800
Fragile and conflict affected situations,FCS,..,1001462452
Heavily indebted poor countries (HIPC),HPC,..,861156745
High income,HIC,..,1240629858
IBRD only,IBD,..,4917520297
IDA & IBRD total,IBT,..,6695397735
IDA blend,IDB,..,595016031
IDA only,IDX,..,1182861407
IDA total,IDA,..,1777877438
Late-demographic dividend,LTE,76.305510455442,2321862159
Latin America & Caribbean,LCN,..,654981699
Latin America & Caribbean (excluding high income),LAC,..,593308001
Latin America & the Caribbean (IDA & IBRD countries),TLA,..,639188695
Least developed countries: UN classification,LDC,..,1099568566
Low & middle income,LMY,..,6619578961
Low income,LIC,..,718255072
Lower middle income,LMC,..,3398187527
Middle East & North Africa,MEA,..,486167363
Middle East & North Africa (excluding high income),MNA,..,418047201
Middle East & North Africa (IDA & IBRD countries),TMN,..,413124452
Middle income,MIC,..,5901323889
North America,NAC,..,370203720
Not classified,INX,..,..
OECD members,OED,..,1372736513
Other small states,OSS,..,32708003
Pacific island small states,PSS,..,2602173
Post-demographic dividend,PST,..,1116796245
Pre-demographic dividend,PRE,..,1011043183
Small states,SST,..,42792053
South Asia,SAS,..,1901911604
South Asia (IDA & IBRD),TSA,..,1901911604
Sub-Saharan Africa,SSF,..,1181162739
Sub-Saharan Africa (excluding high income),SSA,..,1181063481
Sub-Saharan Africa (IDA & IBRD countries),TSS,..,1181162739
Upper middle income,UMC,75.61537229934,2503136362
World,WLD,..,7888408686
,,,
,,,
,,,
Data from database: World Development Indicators,,,
Last Updated: 03/30/2023,,,
