Serie_0 timestamps,Serie_0  T L S  Q U I C,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,60.992908,37.588652,1.41844,0.0,0.0
2022-01-03T00:00:00Z,0.0,65.6,34.4,0.0,0.0
2022-01-10T00:00:00Z,0.0,92.783505,7.216495,0.0,0.0
2022-01-17T00:00:00Z,0.0,90.47619,9.52381,0.0,0.0
2022-01-24T00:00:00Z,0.0,84.848485,15.151515,0.0,0.0
2022-01-31T00:00:00Z,0.0,100.0,0.0,0.0,0.0
2022-02-07T00:00:00Z,0.0,96.428571,3.571429,0.0,0.0
2022-02-14T00:00:00Z,0.0,100.0,0.0,0.0,0.0
2022-02-21T00:00:00Z,0.0,100.0,0.0,0.0,0.0
2022-02-28T00:00:00Z,0.0,0.0,0.0,0.0,0.0
2022-03-07T00:00:00Z,0.0,40.0,60.0,0.0,0.0
2022-03-14T00:00:00Z,0.757576,98.484848,0.757576,0.0,0.0
2022-03-21T00:00:00Z,0.0,98.550725,1.449275,0.0,0.0
2022-03-28T00:00:00Z,0.0,85.074627,14.925373,0.0,0.0
2022-04-04T00:00:00Z,0.0,0.0,0.0,0.0,0.0
2022-04-11T00:00:00Z,0.0,0.0,0.0,0.0,0.0
2022-04-18T00:00:00Z,0.0,0.0,100.0,0.0,0.0
2022-04-25T00:00:00Z,0.0,0.0,0.0,0.0,0.0
2022-05-02T00:00:00Z,0.0,100.0,0.0,0.0,0.0
2022-05-09T00:00:00Z,0.0,100.0,0.0,0.0,0.0
2022-05-16T00:00:00Z,0.0,50.0,50.0,0.0,0.0
2022-05-23T00:00:00Z,0.0,0.0,100.0,0.0,0.0
2022-05-30T00:00:00Z,0.0,100.0,0.0,0.0,0.0
2022-06-06T00:00:00Z,0.0,71.428571,28.571429,0.0,0.0
2022-06-13T00:00:00Z,50.0,50.0,0.0,0.0,0.0
2022-06-20T00:00:00Z,34.210526,60.526316,5.263158,0.0,0.0
2022-06-27T00:00:00Z,1.913876,98.086124,0.0,0.0,0.0
2022-07-04T00:00:00Z,18.421053,81.578947,0.0,0.0,0.0
2022-07-11T00:00:00Z,22.222222,77.777778,0.0,0.0,0.0
2022-07-18T00:00:00Z,21.621622,78.378378,0.0,0.0,0.0
2022-07-25T00:00:00Z,54.237288,45.762712,0.0,0.0,0.0
2022-08-01T00:00:00Z,12.318841,68.115942,19.565217,0.0,0.0
2022-08-08T00:00:00Z,33.333333,0.0,66.666667,0.0,0.0
2022-08-15T00:00:00Z,25.0,66.666667,8.333333,0.0,0.0
2022-08-22T00:00:00Z,0.0,0.0,100.0,0.0,0.0
2022-08-29T00:00:00Z,15.384615,0.0,84.615385,0.0,0.0
2022-09-05T00:00:00Z,0.0,0.0,100.0,0.0,0.0
2022-09-12T00:00:00Z,0.0,66.666667,33.333333,0.0,0.0
2022-09-19T00:00:00Z,33.333333,66.666667,0.0,0.0,0.0
2022-09-26T00:00:00Z,0.0,100.0,0.0,0.0,0.0
2022-10-03T00:00:00Z,0.0,100.0,0.0,0.0,0.0
2022-10-10T00:00:00Z,50.0,50.0,0.0,0.0,0.0
2022-10-17T00:00:00Z,0.0,0.0,0.0,0.0,0.0
2022-10-24T00:00:00Z,46.153846,53.846154,0.0,0.0,0.0
2022-10-31T00:00:00Z,0.0,33.333333,66.666667,0.0,0.0
2022-11-07T00:00:00Z,80.0,0.0,20.0,0.0,0.0
2022-11-14T00:00:00Z,80.0,13.333333,6.666667,0.0,0.0
2022-11-21T00:00:00Z,0.0,0.0,0.0,0.0,0.0
2022-11-28T00:00:00Z,100.0,0.0,0.0,0.0,0.0
2022-12-05T00:00:00Z,0.0,100.0,0.0,0.0,0.0
2022-12-12T00:00:00Z,0.0,83.333333,16.666667,0.0,0.0
2022-12-19T00:00:00Z,0.0,100.0,0.0,0.0,0.0
2022-12-26T00:00:00Z,0.0,100.0,0.0,0.0,0.0
